text;canonical_form_1;canonical_form_2;canonical_form_3;category_1;category_2;category_3;severity_rating;severity_description
cooter shooting;coot;;;sexual anatomy / sexual acts;;;2.6;Severe
cooterpuffing;coot;;;sexual anatomy / sexual acts;;;2.4;Strong
creampie;creampie;;;sexual anatomy / sexual acts;bodily fluids / excrement;;2.2;Strong
crotch fiddler;crotch;;;sexual anatomy / sexual acts;;;2.2;Strong
cuksuker;cock;;;sexual anatomy / sexual acts;;;2.4;Strong
cuksukka;cock;;;sexual anatomy / sexual acts;;;2.2;Strong
cum goon;cum;;;sexual anatomy / sexual acts;bodily fluids / excrement;;2;Strong
cunnilingus;cunnilingus;;;sexual anatomy / sexual acts;;;2;Strong
fugly;fuck;;;physical attributes;;;1.4;Mild
cunt;cunt;;;sexual anatomy / sexual acts;;;2.6;Severe
cunt ass;cunt;ass;;sexual anatomy / sexual acts;sexual orientation / gender;;2.8;Severe
cunt fart;cunt;fart;;sexual anatomy / sexual acts;bodily fluids / excrement;;2.6;Severe
cunt lick;cunt;;;sexual anatomy / sexual acts;;;3;Severe
cunt licker;cunt;;;sexual anatomy / sexual acts;;;3;Severe
cunt lips;cunt;;;sexual anatomy / sexual acts;;;2.8;Severe
cuntasaurus rex;cunt;;;sexual anatomy / sexual acts;animal references;;2.8;Severe
cuntbag;cunt;;;sexual anatomy / sexual acts;;;3;Severe
cuntbollock;cunt;;;sexual anatomy / sexual acts;;;2.2;Strong
cuntelope;cunt;;;sexual anatomy / sexual acts;;;2.4;Strong
cuntits;cunt;tits;;sexual anatomy / sexual acts;;;2.8;Severe
cuntless;cunt;;;sexual anatomy / sexual acts;;;2.8;Severe
cuntlick;cunt;;;sexual anatomy / sexual acts;;;3;Severe
cuntlicker;cunt;;;sexual anatomy / sexual acts;;;2.4;Strong
cuntlickers;cunt;;;sexual anatomy / sexual acts;;;2.6;Severe
cuntness;cunt;;;sexual anatomy / sexual acts;;;3;Severe
cunts;cunt;;;sexual anatomy / sexual acts;;;2.6;Severe
cunty;cunt;;;sexual anatomy / sexual acts;;;2.8;Severe
cuntz;cunt;;;sexual anatomy / sexual acts;;;2.8;Severe
cuunt;cunt;;;sexual anatomy / sexual acts;;;2.6;Severe
full of shit;shit;;;bodily fluids / excrement;;;1;Mild
funbags;funbags;;;sexual anatomy / sexual acts;;;1;Mild
cyberfck;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
cyberfcks;fuck;;;sexual anatomy / sexual acts;;;2.4;Strong
cyberfuccs;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
cyberfucks;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
cyberfucs;fuck;;;sexual anatomy / sexual acts;;;2;Strong
cyberfukk;fuck;;;sexual anatomy / sexual acts;;;2;Strong
cyberfukks;fuck;;;sexual anatomy / sexual acts;other / general insult;;2.2;Strong
cyberfvcks;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
d0ggy style;doggy style;;;sexual anatomy / sexual acts;;;1.8;Strong
d1ckhead;dick;;;sexual anatomy / sexual acts;;;1.8;Strong
d1ckheads;dick;;;sexual anatomy / sexual acts;;;1.8;Strong
d1cksucker;dick;;;sexual anatomy / sexual acts;;;1.8;Strong
d1cksukka;dick;;;sexual anatomy / sexual acts;;;2;Strong
dafuq;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
darkfuck;fuck;darky;;sexual anatomy / sexual acts;racial / ethnic slurs;;2.4;Strong
dick breath;dick;;;sexual anatomy / sexual acts;;;2;Strong
dick face;dick;;;sexual anatomy / sexual acts;;;1.8;Strong
dick fucker;fuck;dick;;sexual anatomy / sexual acts;sexual orientation / gender;;2.8;Severe
dick head;dick;;;sexual anatomy / sexual acts;;;1.8;Strong
dick licker;dick;;;sexual anatomy / sexual acts;;;2.4;Strong
dick milker;dick;;;sexual anatomy / sexual acts;;;2.2;Strong
g0ddamn;damn;;;religious offense;;;1.2;Mild
dick nibbler;dick;;;sexual anatomy / sexual acts;;;2.4;Strong
g0ddamnit;damn;;;religious offense;;;1;Mild
dick smoker;dick;;;sexual anatomy / sexual acts;;;2.4;Strong
dick sucker;dick;;;sexual anatomy / sexual acts;;;2.2;Strong
dick-face;dick;;;sexual anatomy / sexual acts;;;1.8;Strong
dick-gobbler;dick;;;sexual anatomy / sexual acts;;;1.8;Strong
dick-head;dick;;;sexual anatomy / sexual acts;;;1.8;Strong
dickface;dick;;;sexual anatomy / sexual acts;;;2;Strong
dickfucker;dick;fuck;;sexual anatomy / sexual acts;sexual orientation / gender;;2.8;Severe
gayest;gay;;;sexual orientation / gender;;;1;Mild
dickhead;dick;;;sexual anatomy / sexual acts;;;2;Strong
dickheads;dick;;;sexual anatomy / sexual acts;;;1.6;Strong
gayness;gay;;;sexual orientation / gender;;;1.4;Mild
dickjockies;dick;;;sexual anatomy / sexual acts;;;2.2;Strong
dicklicker;dick;;;sexual anatomy / sexual acts;;;2.2;Strong
dickmuncher;dick;;;sexual anatomy / sexual acts;;;2;Strong
dickskin;dick;;;sexual anatomy / sexual acts;;;1.8;Strong
dickslapper;dick;;;sexual anatomy / sexual acts;;;1.8;Strong
girlieboy;girlyboy;;;sexual orientation / gender;;;1.4;Mild
girly bits;girly bits;;;sexual anatomy / sexual acts;;;1;Mild
girlyboy;girlyboy;;;sexual orientation / gender;;;1.4;Mild
dicksmoker;dick;;;sexual anatomy / sexual acts;;;2.8;Severe
go to hell;hell;;;other / general insult;religious offense;;1;Mild
dicksucker;dick;;;sexual anatomy / sexual acts;;;2.2;Strong
dickvag;dick;;;sexual anatomy / sexual acts;;;1.6;Strong
god damn;damn;;;religious offense;;;1.4;Mild
dikhead;dick;;;sexual anatomy / sexual acts;;;1.6;Strong
god damned;damn;;;religious offense;;;1.2;Mild
dirty sanchez;dirty sanchez;;;sexual anatomy / sexual acts;;;2.4;Strong
god-dam;damn;;;religious offense;;;1.2;Mild
god-damned;damn;;;religious offense;;;1.4;Mild
dog fuck;fuck;;;sexual anatomy / sexual acts;animal references;;2.8;Severe
godd@amn;damn;;;religious offense;;;1.4;Mild
godd@mnit;damn;;;religious offense;;;1.4;Mild
goddammit;damn;;;religious offense;;;1;Mild
dog fucker;fuck;;;sexual anatomy / sexual acts;animal references;;3;Severe
dog fucking;fuck;;;sexual anatomy / sexual acts;animal references;;2.8;Severe
dog-fucker;fuck;;;sexual anatomy / sexual acts;animal references;;2.8;Severe
goddamn son-of-a-bitch;damn;bitch;;religious offense;sexual orientation / gender;;1.4;Mild
double dick;dick;;;sexual anatomy / sexual acts;;;1.6;Strong
double dicking;dick;;;sexual anatomy / sexual acts;;;2.2;Strong
dumb fucker;fuck;;;sexual anatomy / sexual acts;mental disability;;2;Strong
dumbass fucker;fuck;ass;;sexual anatomy / sexual acts;mental disability;;2.6;Severe
greaser;greaser;;;racial / ethnic slurs;;;1;Mild
dumbass mofoes;ass;motherfucker;;sexual anatomy / sexual acts;mental disability;;2.4;Strong
groper;grope;;;sexual anatomy / sexual acts;;;1.4;Mild
dumbass mothafuckers;motherfucker;ass;;sexual anatomy / sexual acts;mental disability;other / general insult;2.8;Severe
dumbass son-of-a-bitch;bitch;ass;;sexual anatomy / sexual acts;sexual orientation / gender;other / general insult;1.8;Strong
dumbfucks;fuck;;;sexual anatomy / sexual acts;mental disability;;2.2;Strong
f_u_c_k;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
f'ed;fuck;;;sexual anatomy / sexual acts;;;1.8;Strong
f'er;fuck;;;sexual anatomy / sexual acts;;;1.6;Strong
f@ck;fuck;;;sexual anatomy / sexual acts;;;1.6;Strong
f@cker bunny;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
f@k;fuck;;;sexual anatomy / sexual acts;;;1.8;Strong
f0ck;fuck;;;sexual anatomy / sexual acts;;;2;Strong
f0cked;fuck;;;sexual anatomy / sexual acts;;;2;Strong
f0cker;fuck;;;sexual anatomy / sexual acts;;;2.4;Strong
f0ckers;fuck;;;sexual anatomy / sexual acts;;;2.2;Strong
face fuck;fuck;;;sexual anatomy / sexual acts;;;2.8;Severe
fackuhs;fuck;;;sexual anatomy / sexual acts;;;2;Strong
faggot mofoes;faggot;motherfucker;;sexual anatomy / sexual acts;sexual orientation / gender;;3;Severe
